State,IMR,U5MR,Institutional_Delivery_Pct,ANC_4visits_Pct,Full_Immunization_Pct,Child_Anaemia_Pct,Women_Anaemia_Pct,Stunting_Pct,Underweight_Pct,Clean_Water_Pct,Sanitation_Pct,Electricity_Pct,Clean_Fuel_Pct,First_Trimester_ANC_Pct,Women_HighBloodSugar_Pct,Men_HighBloodSugar_Pct,Public_Beds,Private_Beds,Total_Beds,Institutional_Delivery_Pct_norm,ANC_4visits_Pct_norm,Full_Immunization_Pct_norm,Clean_Water_Pct_norm,Sanitation_Pct_norm,Electricity_Pct_norm,Clean_Fuel_Pct_norm,First_Trimester_ANC_Pct_norm,IMR_norm,U5MR_norm,Child_Anaemia_Pct_norm,Women_Anaemia_Pct_norm,Stunting_Pct_norm,Underweight_Pct_norm,Health_Score
Jammu & Kashmir,32.0,38.0,85.7,81.4,75.1,43.3,40.3,27.4,16.6,89.2,52.5,97.4,57.6,76.8,5.6,6.3,12031.5,20486.0,32517.5,0.788375558867362,0.8622908622908625,0.7086330935251798,0.8221070811744386,0.37466666666666676,0.9371980676328504,0.49812265331664585,0.7393162393162394,0.5517241379310345,0.5633802816901408,0.6173393124065769,0.6877192982456142,0.7307692307692308,0.8690807799442897,69.65
Manipur,22.0,26.0,69.1,69.0,65.9,23.9,26.4,28.9,13.8,41.6,49.9,92.4,42.1,77.0,7.6,9.3,1427.0,2430.0,3857.0,0.540983606557377,0.7027027027027029,0.5431654676258993,0.0,0.34,0.8164251207729469,0.3041301627033792,0.7421652421652423,0.7241379310344828,0.7323943661971831,0.9073243647234679,0.9315789473684211,0.6783216783216784,0.9470752089136489,63.65
Meghalaya,30.0,40.0,51.4,50.0,61.5,48.0,56.2,43.8,29.0,67.9,60.3,91.4,21.8,53.3,4.3,6.4,4457.0,7589.0,12046.0,0.2771982116244412,0.4581724581724582,0.4640287769784174,0.4542314335060449,0.47866666666666674,0.7922705314009661,0.05006257822277846,0.4045584045584046,0.5862068965517241,0.5352112676056338,0.547085201793722,0.40877192982456145,0.1573426573426574,0.5236768802228411,43.84
Mizoram,40.0,46.0,80.1,61.7,50.5,17.7,22.5,28.0,11.9,91.5,83.5,95.9,66.6,65.7,8.6,10.3,1997.0,3400.0,5397.0,0.7049180327868851,0.6087516087516088,0.26618705035971224,0.8618307426597582,0.7880000000000003,0.9009661835748792,0.6107634543178972,0.5811965811965814,0.4137931034482758,0.45070422535211263,1.0,1.0,0.7097902097902098,1.0,70.69
Nagaland,29.0,37.0,32.8,15.0,35.7,21.6,23.9,28.6,16.8,80.6,75.2,97.0,32.8,24.9,7.2,9.7,1880.0,3201.0,5081.0,0.0,0.007722007722007707,0.0,0.6735751295336787,0.6773333333333336,0.9275362318840581,0.18773466833541927,0.0,0.603448275862069,0.5774647887323944,0.9417040358744394,0.9754385964912281,0.6888111888111886,0.8635097493036212,50.89
Sikkim,29.0,32.0,94.7,74.7,83.0,55.1,34.9,29.6,14.2,97.6,88.2,99.4,59.1,76.2,6.7,8.9,1560.0,2656.0,4216.0,0.9225037257824142,0.7760617760617762,0.8507194244604318,0.9671848013816924,0.8506666666666669,0.9855072463768115,0.5168961201501877,0.7307692307692308,0.603448275862069,0.647887323943662,0.44095665171898335,0.7824561403508773,0.6538461538461539,0.9359331476323121,76.18
Tripura,27.0,33.0,79.9,64.3,54.5,48.3,54.5,24.3,24.1,87.3,61.3,92.7,31.9,66.4,7.7,9.6,4429.0,7541.0,11970.0,0.7019374068554396,0.6422136422136423,0.3381294964028777,0.7892918825561313,0.49200000000000005,0.8236714975845412,0.17647058823529413,0.5911680911680914,0.6379310344827587,0.6338028169014085,0.5426008968609866,0.4385964912280702,0.8391608391608392,0.6601671309192201,59.34
Uttarakhand,40.0,47.0,68.6,30.9,57.7,59.8,45.2,33.5,26.6,92.9,64.5,97.5,51.0,53.5,6.1,8.8,8512.0,14493.0,23005.0,0.533532041728763,0.21235521235521235,0.39568345323741017,0.8860103626943006,0.5346666666666668,0.939613526570048,0.41551939924906134,0.4074074074074075,0.4137931034482758,0.43661971830985913,0.37070254110612844,0.6017543859649123,0.5174825174825174,0.5905292479108635,51.83
Andaman And Nicobar Islands,10.0,13.0,96.6,92.1,73.2,49.0,65.7,23.3,21.6,94.3,74.3,97.0,63.5,68.4,9.3,16.5,1075.0,1830.0,2905.0,0.9508196721311473,1.0,0.6744604316546764,0.9101899827288427,0.6653333333333333,0.9275362318840581,0.571964956195244,0.6196581196581199,0.9310344827586207,0.9154929577464789,0.5321375186846038,0.2421052631578947,0.8741258741258741,0.7298050139275765,75.32
Chandigarh,32.0,38.0,91.6,64.5,79.5,73.1,75.9,28.7,24.5,99.5,82.9,99.6,93.9,67.4,5.6,6.9,3756.0,6395.0,10151.0,0.8763040238450073,0.6447876447876448,0.787769784172662,1.0,0.7800000000000002,0.9903381642512077,0.9524405506883604,0.6054131054131056,0.5517241379310345,0.5633802816901408,0.1718983557548579,0.06315789473684219,0.6853146853146853,0.649025069637883,66.58
Dadra And Nagar Haveli,33.0,42.0,88.0,75.6,43.2,84.6,79.5,41.7,38.9,77.5,35.4,97.4,56.1,63.6,4.7,8.7,12031.5,20486.0,32517.5,0.8226527570789866,0.7876447876447877,0.1348920863309353,0.620034542314335,0.14666666666666672,0.9371980676328504,0.4793491864831039,0.5512820512820513,0.5344827586206896,0.5070422535211268,0.0,1.1102230246251565e-16,0.2307692307692305,0.24791086350974934,42.86
Daman And Diu,34.0,34.0,90.1,62.7,66.3,73.8,58.9,23.4,26.7,89.4,60.4,100.0,73.6,75.1,5.5,8.8,12031.5,20486.0,32517.5,0.8539493293591653,0.6216216216216217,0.5503597122302158,0.8255613126079449,0.48000000000000004,1.0,0.6983729662077596,0.7150997150997151,0.5172413793103449,0.6197183098591549,0.16143497757847536,0.36140350877192995,0.8706293706293706,0.5877437325905293,63.31
Lakshadweep,19.0,23.0,99.9,82.8,86.9,51.9,45.7,27.0,23.4,91.5,99.4,99.9,34.8,91.9,12.0,13.3,300.0,511.0,811.0,1.0,0.8803088803088803,0.9208633093525181,0.8618307426597582,1.0000000000000002,0.9975845410628019,0.21276595744680846,0.9544159544159545,0.7758620689655172,0.7746478873239436,0.4887892376681613,0.5929824561403508,0.7447552447552447,0.6796657381615598,77.75
Puducherry,16.0,16.0,99.9,87.7,91.3,44.9,52.4,23.7,22.0,95.4,65.0,99.6,84.8,80.6,7.3,7.5,3569.0,6077.0,9646.0,1.0,0.9433719433719436,1.0,0.9291882556131261,0.5413333333333334,0.9903381642512077,0.8385481852315393,0.7934472934472934,0.8275862068965517,0.8732394366197183,0.593423019431988,0.4754385964912281,0.8601398601398601,0.7186629526462396,81.32
